,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
10,"['[CLS] gente [SEP]', array([   4., 2114.,    5.]), 0]","['[CLS] voy [SEP]', array([   4., 2113.,    5.]), 1.0275114092905824e-12]","['[CLS] estos [SEP]', array([   4., 2111.,    5.]), 9.264145006682156e-12]","['[CLS] noche [SEP]', array([   4., 2109.,    5.]), 2.578226521166016e-11]","['[CLS] hablar [SEP]', array([   4., 2125.,    5.]), 1.2291467843539294e-10]","['[CLS] tienes [SEP]', array([   4., 2126.,    5.]), 1.461408771774586e-10]","['[CLS] quien [SEP]', array([   4., 2141.,    5.]), 7.295083426228643e-10]","['[CLS] eres [SEP]', array([   4., 2149.,    5.]), 1.2167443719235393e-09]","['[CLS] cómo [SEP]', array([   4., 2078.,    5.]), 1.3767330608871475e-09]","['[CLS] nosotros [SEP]', array([   4., 2164.,    5.]), 2.448846792013626e-09]","gente,"
11,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 3.210273713527556e-09]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 4.362287309156443e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 1.061833860838135e-07]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 1.0647334236502104e-07]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.2491804968206566e-07]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 3.540482966801761e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.899593342682195e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.9963205622495224e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 4.1190584176842293e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.923235330522857e-07]",detestable
12,"['[CLS] muerto [SEP]', array([   4., 3435.,    5.]), 2.5074053944251773e-11]","['[CLS] chica [SEP]', array([   4., 3404.,    5.]), 4.895051031184039e-11]","['[CLS] puerta [SEP]', array([   4., 3399.,    5.]), 8.015754726642399e-11]","['[CLS] claro [SEP]', array([   4., 3459.,    5.]), 2.0030577196905597e-10]","['[CLS] mierda [SEP]', array([   4., 3383.,    5.]), 2.326568937505158e-10]","['[CLS] haces [SEP]', array([   4., 3380.,    5.]), 2.703061108277893e-10]","['[CLS] ustedes [SEP]', array([   4., 3331.,    5.]), 1.3065446502480427e-09]","['[CLS] todavía [SEP]', array([   4., 3329.,    5.]), 1.3662464493080506e-09]","['[CLS] papá [SEP]', array([   4., 3538.,    5.]), 1.881876876552724e-09]","['[CLS] espera [SEP]', array([   4., 3540.,    5.]), 1.9451290578231806e-09]",clase
13,"['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 7.738173657401148e-09]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.3786177865959814e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 1.565298657357772e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 1.8156545711356387e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 2.3597637177630304e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 3.26706238729102e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 3.283154770272745e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.7871116465026944e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 3.7995046331396054e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 4.286085908411508e-08]",NO
14,"['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 4.5312864571656064e-11]","['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 2.5984869811424005e-10]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 7.613744046341964e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 7.638299992507314e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 9.211813201126517e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.971250629979494e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 3.300955878637879e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.389996876546064e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.503114318625933e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.2475189065971364e-07]",REPRESENTAS
15,"['[CLS] del [SEP]', array([   4., 1072.,    5.]), 6.231981597437652e-11]","['[CLS] o [SEP]', array([   4., 1074.,    5.]), 2.483515615381293e-10]","['[CLS] los [SEP]', array([   4., 1065.,    5.]), 3.946353244188572e-10]","['[CLS] se [SEP]', array([   4., 1062.,    5.]), 1.0159817431798501e-09]","['[CLS] su [SEP]', array([   4., 1079.,    5.]), 1.2456543574401735e-09]","['[CLS] es [SEP]', array([   4., 1058.,    5.]), 2.3032762364039172e-09]","['[CLS] no [SEP]', array([   4., 1084.,    5.]), 2.986435321261638e-09]","['[CLS] las [SEP]', array([   4., 1089.,    5.]), 5.450134010764884e-09]","['[CLS] con [SEP]', array([   4., 1051.,    5.]), 5.851354512032003e-09]","['[CLS] al [SEP]', array([   4., 1091.,    5.]), 6.633532834143807e-09]",A
16,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 6.7143021142967996e-09]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 8.341019541724393e-09]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 3.163754691559717e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 3.17959091278297e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 4.2209299500051145e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.9983682841839823e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.2703203883533973e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.344265264131451e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.438487730627159e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.0654964744414315e-07]",NADIE
17,"['[CLS] de [SEP]', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['[CLS] a [SEP]', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['[CLS] la [SEP]', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['[CLS] en [SEP]', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['[CLS] que [SEP]', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['[CLS] el [SEP]', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['[CLS] y [SEP]', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['[CLS] un [SEP]', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['[CLS] con [SEP]', array([   4., 1051.,    5.]), 1.3643280460939877e-07]","['[CLS] es [SEP]', array([   4., 1058.,    5.]), 1.5830037902730965e-07]",@CarolAntonioA
18,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 2.9560542902373754e-10]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 7.065769080938367e-10]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 5.886307441471672e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 5.9079011460738684e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 7.3006250822516e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.619175336615598e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.9292607872655196e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.0131733574911834e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.119871831991361e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.824394908535922e-07]",Estimado
19,"['[CLS] amigo [SEP]', array([   4., 2557.,    5.]), 0]","['[CLS] tarde [SEP]', array([   4., 2551.,    5.]), 1.7344792269113896e-11]","['[CLS] hombres [SEP]', array([   4., 2567.,    5.]), 4.758105021096526e-11]","['[CLS] allí [SEP]', array([   4., 2544.,    5.]), 8.18727308171674e-11]","['[CLS] gracias [SEP]', array([   4., 2577.,    5.]), 1.8885060182327607e-10]","['[CLS] bueno [SEP]', array([   4., 2536.,    5.]), 2.1499435565175418e-10]","['[CLS] estamos [SEP]', array([   4., 2527.,    5.]), 4.41894854041891e-10]","['[CLS] mañana [SEP]', array([   4., 2591.,    5.]), 5.39895794737788e-10]","['[CLS] razón [SEP]', array([   4., 2600.,    5.]), 8.57585003011252e-10]","['[CLS] tus [SEP]', array([   4., 2620.,    5.]), 1.812865635386629e-09]","amigo,"
20,"['[CLS] casi [SEP]', array([   4., 3128.,    5.]), 1.7445045408237547e-11]","['[CLS] van [SEP]', array([   4., 3129.,    5.]), 2.1523338666895597e-11]","['[CLS] contigo [SEP]', array([   4., 3103.,    5.]), 5.602673880389375e-11]","['[CLS] algún [SEP]', array([   4., 3137.,    5.]), 6.938016827717775e-11]","['[CLS] salir [SEP]', array([   4., 3143.,    5.]), 1.228721568935498e-10]","['[CLS] serio [SEP]', array([   4., 3084.,    5.]), 2.7141056069268643e-10]","['[CLS] demasiado [SEP]', array([   4., 3083.,    5.]), 2.873276061521324e-10]","['[CLS] cabeza [SEP]', array([   4., 3067.,    5.]), 6.057571111384163e-10]","['[CLS] pasó [SEP]', array([   4., 3185.,    5.]), 9.04874841722858e-10]","['[CLS] realmente [SEP]', array([   4., 3189.,    5.]), 1.0153284879521607e-09]",muchas
21,"['[CLS] gracias [SEP]', array([   4., 2577.,    5.]), 0]","['[CLS] hombres [SEP]', array([   4., 2567.,    5.]), 4.6845638479453555e-11]","['[CLS] mañana [SEP]', array([   4., 2591.,    5.]), 9.012413038078648e-11]","['[CLS] amigo [SEP]', array([   4., 2557.,    5.]), 1.8885060182327607e-10]","['[CLS] razón [SEP]', array([   4., 2600.,    5.]), 2.4156210365333664e-10]","['[CLS] tarde [SEP]', array([   4., 2551.,    5.]), 3.2066038713196576e-10]","['[CLS] allí [SEP]', array([   4., 2544.,    5.]), 5.194136232233859e-10]","['[CLS] bueno [SEP]', array([   4., 2536.,    5.]), 8.068425927376666e-10]","['[CLS] tus [SEP]', array([   4., 2620.,    5.]), 8.314843258361293e-10]","['[CLS] dónde [SEP]', array([   4., 2625.,    5.]), 1.0321519194889106e-09]",gracias!
22,"['[CLS] cuando [SEP]', array([   4., 1486.,    5.]), 1.686129014188964e-11]","['[CLS] vez [SEP]', array([   4., 1480.,    5.]), 6.799338869711846e-11]","['[CLS] sin [SEP]', array([   4., 1477.,    5.]), 2.0907631181898978e-10]","['[CLS] todos [SEP]', array([   4., 1495.,    5.]), 5.039331174572226e-10]","['[CLS] dos [SEP]', array([   4., 1471.,    5.]), 7.269943536059031e-10]","['[CLS] puede [SEP]', array([   4., 1499.,    5.]), 9.320716420901931e-10]","['[CLS] esto [SEP]', array([   4., 1468.,    5.]), 1.1057516013934787e-09]","['[CLS] yo [SEP]', array([   4., 1467.,    5.]), 1.249992220841989e-09]","['[CLS] años [SEP]', array([   4., 1503.,    5.]), 1.4875081166820792e-09]","['[CLS] así [SEP]', array([   4., 1506.,    5.]), 1.9863946043585656e-09]",Te
23,"['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.3471812554399776e-10]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 1.6854706519353613e-09]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.3767403600771786e-09]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.408943127780617e-09]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 1.3981869328993923e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 1.4057210839801826e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 1.7074275437956032e-08]","['[CLS] vaya [SEP]', array([4.000e+00, 4.875e+03, 5.000e+00]), 3.9395969819722154e-08]","['[CLS] eh [SEP]', array([4.000e+00, 4.824e+03, 5.000e+00]), 4.339018822019369e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 5.2888637025461094e-08]",mando
24,"['[CLS] sr [SEP]', array([4.0000e+00, 2.1266e+04, 5.0000e+00]), 2.2169377444924976e-10]","['[CLS] ud [SEP]', array([4.0000e+00, 2.2247e+04, 5.0000e+00]), 5.894077448331814e-10]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 5.998625762781984e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 6.020424325736684e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 7.425650849768317e-08]","['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 2.642808982766809e-07]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.9542512547386934e-07]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 3.0385184857095737e-07]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 3.1456608673430253e-07]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 3.8529419810195975e-07]",abrazo
25,"['[CLS] de [SEP]', array([   4., 1008.,    5.]), 0.5699923494441481]","['[CLS] a [SEP]', array([   4., 1013.,    5.]), 0.5700206556365088]","['[CLS] la [SEP]', array([   4., 1030.,    5.]), 0.5701148441796258]","['[CLS] en [SEP]', array([   4., 1036.,    5.]), 0.5701473502886363]","['[CLS] que [SEP]', array([   4., 1038.,    5.]), 0.5701581022745256]","['[CLS] el [SEP]', array([   4., 1040.,    5.]), 0.5701688129687967]","['[CLS] y [SEP]', array([   4., 1042.,    5.]), 0.5701794826088518]","['[CLS] un [SEP]', array([   4., 1049.,    5.]), 0.5702165064321696]","['[CLS] con [SEP]', array([   4., 1051.,    5.]), 0.5702269942178023]","['[CLS] es [SEP]', array([   4., 1058.,    5.]), 0.570263389674246]",🤗
26,"['[CLS] siento [SEP]', array([   4., 2053.,    5.]), 1.8535506463024376e-11]","['[CLS] días [SEP]', array([   4., 2045.,    5.]), 1.8680612612342884e-11]","['[CLS] siempre [SEP]', array([   4., 2032.,    5.]), 3.4175251517609695e-10]","['[CLS] les [SEP]', array([   4., 2027.,    5.]), 5.751739085013696e-10]","['[CLS] cómo [SEP]', array([   4., 2078.,    5.]), 9.509693033038502e-10]","['[CLS] soy [SEP]', array([   4., 2020.,    5.]), 1.0063627708944978e-09]","['[CLS] ellos [SEP]', array([   4., 2018.,    5.]), 1.1522385268136759e-09]","['[CLS] pueden [SEP]', array([   4., 2016.,    5.]), 1.3083023553406292e-09]","['[CLS] pues [SEP]', array([   4., 2000.,    5.]), 2.930848785887008e-09]","['[CLS] noche [SEP]', array([   4., 2109.,    5.]), 3.9519463257420284e-09]",Ahora
27,"['[CLS] dios [SEP]', array([4.000e+00, 6.103e+03, 5.000e+00]), 1.337326793748872e-08]","['[CLS] hola [SEP]', array([4.00e+00, 9.05e+03, 5.00e+00]), 1.5860699198455563e-08]","['[CLS] aqui [SEP]', array([4.00e+00, 5.87e+03, 5.00e+00]), 2.1051256737791846e-08]","['[CLS] quizás [SEP]', array([4.000e+00, 5.812e+03, 5.000e+00]), 2.3344127964008976e-08]","['[CLS] oh [SEP]', array([4.000e+00, 9.569e+03, 5.000e+00]), 2.3431714679666982e-08]","['[CLS] oye [SEP]', array([4.000e+00, 9.578e+03, 5.000e+00]), 2.3568028639786576e-08]","['[CLS] quizá [SEP]', array([4.000e+00, 5.741e+03, 5.000e+00]), 2.6380965967298664e-08]","['[CLS] pensé [SEP]', array([4.000e+00, 5.336e+03, 5.000e+00]), 4.940883557846831e-08]","['[CLS] debes [SEP]', array([4.000e+00, 5.334e+03, 5.000e+00]), 4.955037602449863e-08]","['[CLS] buenas [SEP]', array([4.000e+00, 5.259e+03, 5.000e+00]), 5.508624900674164e-08]",corresponde
