Palabra 	 Primeras alineaciones 	 Segundas alineaciones 
los	[['los', 0], ['?', 1.674260730055721e-11], ['¿', 6.659428564148584e-11], ['P', 1.4955692240192775e-10], ['se', 1.512515668267156e-10]]	[['los', 0], ['?', 1.674260730055721e-11], ['¿', 6.659428564148584e-11], ['P', 1.495568113796253e-10], ['se', 1.5125145580441313e-10]]
se	[['se', 0], ['?', 6.734934832053341e-11], ['los', 1.512515668267156e-10], ['C', 1.5297019206883533e-10], ['es', 2.724612757631917e-10]]	[['se', 0], ['?', 6.734923729823095e-11], ['los', 1.5125145580441313e-10], ['C', 1.5297019206883533e-10], ['es', 2.7246138678549414e-10]]
es	[['es', 2.220446049250313e-16], ['C', 1.7125301177145502e-11], ['S', 1.7190249224086074e-11], ['v', 6.889155912404021e-11], ['se', 2.724612757631917e-10]]	[['es', 0], ['C', 1.7125412199447965e-11], ['S', 1.7190360246388536e-11], ['v', 6.889144810173775e-11], ['se', 2.7246138678549414e-10]]
por	[['por', 0], ['M', 1.4872103548668747e-11], ['1', 5.981526385312463e-11], ['di', 2.366580265089624e-10], ['al', 3.75903752569684e-10]]	[['por', 0], ['M', 1.4872103548668747e-11], ['1', 5.981526385312463e-11], ['di', 2.3665780446435747e-10], ['al', 3.75903752569684e-10]]
lo	[['lo', 0], ['2', 1.3934520204372802e-11], ['d', 5.5637716656065095e-11], ['si', 5.6038840234862164e-11], ['"', 1.2496093049207957e-10]]	[['lo', 0], ['2', 1.393440918207034e-11], ['d', 5.5637716656065095e-11], ['si', 5.603861819025724e-11], ['"', 1.249608194697771e-10]]
para	[['para', 0], ['pro', 1.4136247727947193e-11], ['si', 5.644340550503557e-11], ['una', 5.685163451119024e-11], ['lo', 2.2496338125677084e-10]]	[['para', 0], ['pro', 1.413613670564473e-11], ['si', 5.644329448273311e-11], ['una', 5.685163451119024e-11], ['lo', 2.2496338125677084e-10]]
con	[['con', 0], ['un', 7.074696384279378e-11], ['v', 4.3632641943958106e-10], ['S', 6.271219099573955e-10], ['h', 6.416068787373774e-10]]	[['con', 0], ['un', 7.074696384279378e-11], ['v', 4.3632641943958106e-10], ['S', 6.271219099573955e-10], ['h', 6.41606767715075e-10]]
@kenialopezr	[['@kenialopezr', 0], ['@delfinagomeza', 8.160542844359853e-06], ['CÍNICA', 1.721325912862337e-05], ['calumnias', 2.501187016712425e-05], ['@FGRMexico', 3.2362997592905174e-05]]	[['@kenialopezr', 0], ['@delfinagomeza', 8.16054284424883e-06], ['CÍNICA', 1.721325912862337e-05], ['calumnias', 2.5011870166791184e-05], ['@FGRMexico', 3.236299759279415e-05]]
@lopezobrador_	[['@lopezobrador_', 0], ['@lopezdoriga', 0], ['@lopezobrador', 0], ['@lopezobrador_,', 0], ['@lopezobrador_.', 0]]	[['@lopezobrador_', 0], ['@lopezdoriga', 0], ['@lopezobrador', 0], ['@lopezobrador_,', 0], ['@lopezobrador_.', 0]]
del	[['del', 0], ['re', 1.624866907690148e-11], ['o', 6.487355097561931e-11], ['A', 6.535949559349774e-11], ['in', 1.4569412343234944e-10]]	[['del', 0], ['re', 1.624866907690148e-11], ['o', 6.487355097561931e-11], ['A', 6.535949559349774e-11], ['in', 1.4569412343234944e-10]]
te	[['te', 0], ['ma', 9.078848783872218e-12], ['19', 3.62566643374862e-11], ['3', 1.4456058572420716e-10], ['pre', 2.2551338574317015e-10]]	[['te', 0], ['ma', 9.078848783872218e-12], ['19', 3.62566643374862e-11], ['3', 1.4456058572420716e-10], ['pre', 2.2551338574317015e-10]]
un	[['un', 0], ['con', 7.074696384279378e-11], ['h', 2.8624691505996225e-10], ['E', 4.4811809818412485e-10], ['n', 6.46527831271726e-10]]	[['un', 0], ['con', 7.074696384279378e-11], ['h', 2.8624691505996225e-10], ['E', 4.481179871618224e-10], ['n', 6.46527831271726e-10]]
su	[['su', 0], ['par', 1.5831447264247345e-11], ['L', 1.5890067039947553e-11], ['N', 2.518990571687141e-10], ['in', 2.556622691329835e-10]]	[['su', 0], ['par', 1.583122521964242e-11], ['L', 1.5890067039947553e-11], ['N', 2.518990571687141e-10], ['in', 2.5566215811068105e-10]]
una	[['una', 0], ['para', 5.685163451119024e-11], ['pro', 1.2768586188371955e-10], ['T', 1.290763051997601e-10], ['si', 2.2658908083172946e-10]]	[['una', 0], ['para', 5.685163451119024e-11], ['pro', 1.2768586188371955e-10], ['T', 1.2907619417745764e-10], ['si', 2.2658919185403192e-10]]
las	[['las', 0], ['D', 1.5258128094330914e-11], ['al', 6.092026882953405e-11], ['1', 3.786663205218588e-10], ['no', 3.8568470639432917e-10]]	[['las', 0], ['D', 1.525801707202845e-11], ['al', 6.092026882953405e-11], ['1', 3.786663205218588e-10], ['no', 3.8568470639432917e-10]]
como	[['como', 0], ['U', 1.0921263893237665e-11], ['I', 4.390698915557323e-11], ['En', 9.79601955108933e-11], [':', 9.895806396542639e-11]]	[['como', 0], ['U', 1.0921263893237665e-11], ['I', 4.390698915557323e-11], ['En', 9.79601955108933e-11], [':', 9.895806396542639e-11]]
tu	[['tu', 0], ['qué', 3.0577429477318674e-11], ['ver', 3.076672250301726e-11], ['sus', 3.798276138056167e-10], ['Qué', 1.3223178108034972e-09]]	[['tu', 0], ['qué', 3.0577096410411286e-11], ['ver', 3.076672250301726e-11], ['sus', 3.7982750278331423e-10], ['Qué', 1.3223176997811947e-09]]
Y	[['Y', 0], ['ex', 1.129796256549298e-11], ['Es', 4.496181205126959e-11], ['V', 1.8169465931805462e-10], [':', 4.019189425719105e-10]]	[['Y', 0], ['ex', 1.129796256549298e-11], ['Es', 4.496181205126959e-11], ['V', 1.8169465931805462e-10], [':', 4.019189425719105e-10]]
al	[['al', 0], ['D', 1.520228387619227e-11], ['las', 6.092026882953405e-11], ['1', 1.3582057700745054e-10], ['por', 3.75903752569684e-10]]	[['al', 0], ['D', 1.5202172853889806e-11], ['las', 6.092026882953405e-11], ['1', 1.3582057700745054e-10], ['por', 3.75903752569684e-10]]
ya	[['ya', 2.220446049250313e-16], ['gran', 3.58224561125553e-11], ['contra', 2.5109769818953964e-10], ['Le', 4.0171188597781793e-10], ['era', 5.620348630941407e-10]]	[['ya', 0], ['gran', 3.58224561125553e-11], ['contra', 2.510975871672372e-10], ['Le', 4.0171210802242285e-10], ['era', 5.620348630941407e-10]]
No	[['No', 0], ['!', 5.349543030774839e-11], ['me', 2.132239940166869e-10], ['ha', 4.780589257791235e-10], ['"', 8.713193500042848e-10]]	[['No', 0], ['!', 5.349531928544593e-11], ['me', 2.1322388299438444e-10], ['ha', 4.78058814756821e-10], ['"', 8.713192389819824e-10]]
si	[['si', 2.220446049250313e-16], ['pro', 1.4085288491116899e-11], ['lo', 5.60387292125597e-11], ['para', 5.644340550503557e-11], ['2', 1.2586109932044565e-10]]	[['si', 0], ['pro', 1.4085399513419361e-11], ['lo', 5.603861819025724e-11], ['para', 5.644329448273311e-11], ['2', 1.2586109932044565e-10]]
le	[['le', 0], ['ten', 9.346967644319193e-12], ['vi', 8.357969871752857e-11], ['te', 5.89561510722092e-10], ['ma', 7.449617589472268e-10]]	[['le', 0], ['ten', 9.347078666621655e-12], ['vi', 8.35799207621335e-11], ['te', 5.895617327666969e-10], ['ma', 7.449619809918318e-10]]
más	[['más', 0], ['an', 9.816591983735634e-12], ['O', 9.996575789372741e-10], ['ten', 2.1588016929641185e-09], ['le', 2.452251068874034e-09]]	[['más', 0], ['an', 9.816591983735634e-12], ['O', 9.996575789372741e-10], ['ten', 2.1588019150087234e-09], ['le', 2.452251068874034e-09]]
@rocionahle	[['@rocionahle', 0], ['condolencias', 9.522690870666928e-05], ['@CFEmx', 0.00011002757065059487], ['Asquerosa', 0.00015570830259215018], ['@VicenteFoxQue', 0.0001572449947803145]]	[['@rocionahle', 0], ['condolencias', 9.522690870644723e-05], ['@CFEmx', 0.00011002757065048385], ['Asquerosa', 0.00015570830259192814], ['@VicenteFoxQue', 0.00015724499478009246]]
@XochitlGalvez	[['@XochitlGalvez', 2.220446049250313e-16], ['@JesusRCuevas', 2.5871407792754653e-06], ['@hdemauleon', 2.8809129609674855e-06], ['titere', 5.202562697315116e-06], ['tweet', 6.9924860397474475e-06]]	[['@XochitlGalvez', 0], ['@JesusRCuevas', 2.58714077949751e-06], ['@hdemauleon', 2.880912961078508e-06], ['titere', 5.202562697093072e-06], ['tweet', 6.992486039969492e-06]]
@rosaicela_	[['@rosaicela_', 2.220446049250313e-16], ['VOTAR', 6.8763348937128654e-06], ['@SeleneAvilaF', 0.00012899387165965503], ['Gálvez', 0.00013707431617515642], ['@ProsocCDMX', 0.00023636950395977685]]	[['@rosaicela_', 0], ['VOTAR', 6.8763348937128654e-06], ['@SeleneAvilaF', 0.00012899387165987708], ['Gálvez', 0.00013707431617526744], ['@ProsocCDMX', 0.00023636950395977685]]
Que	[['Que', 1.1102230246251565e-16], ['toda', 1.5806800313100666e-11], ['tanto', 4.3533954219299176e-11], ['mundo', 1.4317780294703653e-10], ['otra', 2.143426547362992e-10]]	[['Que', 0], ['toda', 1.5806800313100666e-11], ['tanto', 4.3533843196996713e-11], ['mundo', 1.431775809024316e-10], ['otra', 2.1434276575860167e-10]]
@AndreaChavezTre	[['@AndreaChavezTre', 0], ['@guerrerochipres', 4.537860356046419e-05], ['@terrazas_prieto', 0.00020256537012663944], ['@SEGOB_mx', 0.00021718547308025027], ['@SenadoPRI', 0.0002235763059571516]]	[['@AndreaChavezTre', 0], ['@guerrerochipres', 4.5378603560575215e-05], ['@terrazas_prieto', 0.00020256537012663944], ['@SEGOB_mx', 0.00021718547308025027], ['@SenadoPRI', 0.0002235763059571516]]
pero	[['pero', 1.1102230246251565e-16], ['mis', 6.387224082970988e-12], ['5', 2.5586199825511358e-11], ['esta', 1.0144274309453749e-10], ['r', 4.033927636371004e-10]]	[['pero', 0], ['mis', 6.387002038366063e-12], ['5', 2.5586199825511358e-11], ['esta', 1.0144274309453749e-10], ['r', 4.033925415924955e-10]]
ni	[['ni', 1.1102230246251565e-16], ['Lo', 9.484724117214682e-11], ['fin', 1.4841405882037861e-10], ['entre', 4.712308321330738e-10], ['Di', 7.019176351263923e-10]]	[['ni', 0], ['Lo', 9.484724117214682e-11], ['fin', 1.4841405882037861e-10], ['entre', 4.712308321330738e-10], ['Di', 7.019176351263923e-10]]
o	[['o', 0], ['in', 1.6128098856427187e-11], ['re', 1.6188161922059408e-11], ['del', 6.487355097561931e-11], ['L', 2.5661373026508727e-10]]	[['o', 0], ['in', 1.6127987834124724e-11], ['re', 1.6188050899756945e-11], ['del', 6.487355097561931e-11], ['L', 2.5661384128738973e-10]]
sus	[['sus', 2.220446049250313e-16], ['ver', 1.9439017062694575e-10], ['Qué', 2.847495572666503e-10], ['tu', 3.7982750278331423e-10], ['qué', 6.259418539045214e-10]]	[['sus', 0], ['ver', 1.9438994858234082e-10], ['Qué', 2.847495572666503e-10], ['tu', 3.7982750278331423e-10], ['qué', 6.259418539045214e-10]]
son	[['son', 0], ['Al', 5.540790048996769e-12], ['aquí', 5.0009441032727864e-11], ['eso', 8.903278114757995e-11], ['hacer', 1.3734202664039685e-10]]	[['son', 0], ['Al', 5.540790048996769e-12], ['aquí', 5.00093300104254e-11], ['eso', 8.903255910297503e-11], ['hacer', 1.3734202664039685e-10]]
@ruizmassieu	[['@ruizmassieu', 1.1102230246251565e-16], ['@AccionNacional', 0.00031820537036886254], ['@SalmaLuevano', 0.0005327909580093992], ['@Pemex', 0.0006468578436252814], ['SENADO', 0.00073261703920946]]	[['@ruizmassieu', 0], ['@AccionNacional', 0.0003182053703687515], ['@SalmaLuevano', 0.0005327909580092882], ['@Pemex', 0.0006468578436251704], ['SENADO', 0.0007326170392085718]]
La	[['La', 2.220446049250313e-16], ['ser', 4.160982669532132e-11], ['O', 6.591499568386894e-10], ['En', 1.2864191933914526e-09], ['U', 1.8028039061590562e-09]]	[['La', 0], ['ser', 4.160993771762378e-11], ['O', 6.591501788832943e-10], ['En', 1.2864191933914526e-09], ['U', 1.802804128203661e-09]]
usted	[['usted', 2.220446049250313e-16], ['mes', 1.503686064552312e-12], ['asi', 5.996869667512783e-12], ['menos', 6.0215166186594615e-12], ['solo', 1.3562262424215987e-11]]	[['usted', 0], ['mes', 1.503908109157237e-12], ['asi', 5.996869667512783e-12], ['menos', 6.0215166186594615e-12], ['solo', 1.3562262424215987e-11]]
solo	[['solo', 1.1102230246251565e-16], ['menos', 1.5100143357926754e-12], ['tres', 1.5131229602616258e-12], ['mes', 6.034062138837726e-12], ['usted', 1.3562262424215987e-11]]	[['solo', 0], ['menos', 1.5099033134902129e-12], ['tres', 1.5131229602616258e-12], ['mes', 6.034062138837726e-12], ['usted', 1.3562262424215987e-11]]
eso	[['eso', 1.1102230246251565e-16], ['aquí', 5.588418616753188e-12], ['Al', 5.0152437758299584e-11], ['todo', 5.058420349257631e-11], ['son', 8.903278114757995e-11]]	[['eso', 0], ['aquí', 5.588418616753188e-12], ['Al', 5.015221571369466e-11], ['todo', 5.058398144797138e-11], ['son', 8.903255910297503e-11]]
está	[['está', 0], ['Se', 3.358258116037405e-11], ['sobre', 7.496647747018415e-11], ['De', 2.1089086033043714e-10], ['200', 2.984530400595986e-10]]	[['está', 0], ['Se', 3.358235911576912e-11], ['sobre', 7.496636644788168e-11], ['De', 2.108906382858322e-10], ['200', 2.984530400595986e-10]]
todo	[['todo', 1.1102230246251565e-16], ['eso', 5.058398144797138e-11], ['aquí', 8.979872401226885e-11], ['Di', 9.083322982661457e-11], ['Al', 2.0147161716721484e-10]]	[['todo', 0], ['eso', 5.058398144797138e-11], ['aquí', 8.979872401226885e-11], ['Di', 9.083322982661457e-11], ['Al', 2.0147161716721484e-10]]
Ya	[['Ya', 0], ['puedo', 3.496802847280378e-11], ['Sr', 5.4086068956848976e-11], ['va', 5.46996892225593e-11], ['cada', 1.3799428266736413e-10]]	[['Ya', 0], ['puedo', 3.4968250517408705e-11], ['Sr', 5.4086068956848976e-11], ['va', 5.46996892225593e-11], ['cada', 1.3799450471196906e-10]]
ser	[['ser', 0], ['La', 4.160993771762378e-11], ['O', 3.695370676126686e-10], ['En', 1.7907503258030033e-09], ['U', 2.39218922448714e-09]]	[['ser', 0], ['La', 4.160993771762378e-11], ['O', 3.695370676126686e-10], ['En', 1.7907503258030033e-09], ['U', 2.39218922448714e-09]]
qué	[['qué', 2.220446049250313e-16], ['tu', 3.0577429477318674e-11], ['ver', 1.2268785987146202e-10], ['sus', 6.259420759491263e-10], ['bien', 1.675651284394064e-09]]	[['qué', 0], ['tu', 3.0577096410411286e-11], ['ver', 1.2268774884915956e-10], ['sus', 6.259418539045214e-10], ['bien', 1.675651284394064e-09]]
,	[[',', 2.220446049250313e-16], ['c', 2.013589295302154e-11], ['s', 1.7980539279705e-10], ['a', 3.240868684528664e-10], ['p', 5.073867992422265e-10]]	[[',', 0], ['c', 2.013589295302154e-11], ['s', 1.7980539279705e-10], ['a', 3.240868684528664e-10], ['p', 5.07386910264529e-10]]
A	[['A', 0], ['del', 6.535949559349774e-11], ['P', 6.584999212577713e-11], ['re', 1.4678491755404366e-10], ['¿', 1.4844026008375977e-10]]	[['A', 0], ['del', 6.535949559349774e-11], ['P', 6.584988110347467e-11], ['re', 1.467848065317412e-10], ['¿', 1.4844026008375977e-10]]
eres	[['eres', 1.1102230246251565e-16], ['especial', 1.0088596624768797e-12], ['bus', 9.047318449972863e-12], ['nivel', 1.6069034991517128e-11], ['Como', 2.5319191188089007e-11]]	[['eres', 0], ['especial', 1.0090817070818048e-12], ['bus', 9.047318449972863e-12], ['nivel', 1.6069034991517128e-11], ['Como', 2.5319080165786545e-11]]
sin	[['sin', 0], ['vez', 4.0492720287943484e-11], ['dos', 1.6395962365578498e-10], ['Te', 2.19274709500894e-10], ['cuando', 3.614994970035923e-10]]	[['sin', 0], ['vez', 4.049305335485087e-11], ['dos', 1.639598457003899e-10], ['Te', 2.1927482052319647e-10], ['cuando', 3.6149960802589476e-10]]
tiene	[['tiene', 2.220446049250313e-16], ['algo', 4.108047235718004e-12], ['Le', 6.546940767293563e-11], ['Su', 6.616607262088792e-11], ['así', 1.4926926361624737e-10]]	[['tiene', 0], ['algo', 4.108158258020467e-12], ['Le', 6.546962971754056e-11], ['Su', 6.616618364319038e-11], ['así', 1.4926959668315476e-10]]
me	[['me', 0], ['ha', 5.274203296323776e-11], ['!', 5.311706630095614e-11], ['No', 2.132239940166869e-10], [')', 4.713378576326477e-10]]	[['me', 0], ['ha', 5.274203296323776e-11], ['!', 5.311695527865368e-11], ['No', 2.1322388299438444e-10], [')', 4.713377466103452e-10]]
esta	[['esta', 0], ['r', 1.0025547059200335e-10], ['pero', 1.0144274309453749e-10], ['mis', 1.5873835579327533e-10], ['este', 2.2491419837677995e-10]]	[['esta', 0], ['r', 1.0025547059200335e-10], ['pero', 1.0144274309453749e-10], ['mis', 1.5873835579327533e-10], ['este', 2.249140873544775e-10]]
les	[['les', 1.1102230246251565e-16], ['siempre', 3.168232343142563e-11], ['soy', 6.283695785924692e-11], ['ellos', 1.0407930073341731e-10], ['pueden', 1.5578516254777242e-10]]	[['les', 0], ['siempre', 3.1682101386820705e-11], ['soy', 6.283695785924692e-11], ['ellos', 1.0407930073341731e-10], ['pueden', 1.5578527357007488e-10]]
porque	[['porque', 2.220446049250313e-16], ['estado', 1.7810974917154e-11], ['había', 9.590994665131802e-11], ['tú', 1.6136358915730398e-10], ['Para', 3.2862590426674387e-10]]	[['porque', 0], ['estado', 1.7810974917154e-11], ['había', 9.591016869592295e-11], ['tú', 1.6136358915730398e-10], ['Para', 3.2862601528904634e-10]]
va	[['va', 0], ['puedo', 2.19779749954796e-12], ['estoy', 3.5365821382526974e-11], ['Ya', 5.46996892225593e-11], ['deber', 5.532185820555924e-11]]	[['va', 0], ['puedo', 2.1979085218504224e-12], ['estoy', 3.5365821382526974e-11], ['Ya', 5.46996892225593e-11], ['deber', 5.53219692278617e-11]]
cuando	[['cuando', 2.220446049250313e-16], ['mar', 4.403033493360908e-12], ['Te', 1.7683743358531956e-11], ['vez', 1.6001577840540904e-10], ['todos', 3.5284719590578106e-10]]	[['cuando', 0], ['mar', 4.403144515663371e-12], ['Te', 1.7683743358531956e-11], ['vez', 1.6001577840540904e-10], ['todos', 3.5284719590578106e-10]]
bien	[['bien', 2.220446049250313e-16], ['ve', 7.2668537853815e-12], ['i', 1.8056756090345516e-10], ['qué', 1.675651284394064e-09], ['tu', 2.1589390275522646e-09]]	[['bien', 0], ['ve', 7.2668537853815e-12], ['i', 1.805674498811527e-10], ['qué', 1.675651284394064e-09], ['tu', 2.1589386944853572e-09]]
hay	[['hay', 1.1102230246251565e-16], ['tan', 3.318264552021333e-10], ['20', 5.170327499470773e-10], ['Los', 6.443563460578616e-10], ['sal', 7.424532100230863e-10]]	[['hay', 0], ['tan', 3.3182656622443574e-10], ['20', 5.170326389247748e-10], ['Los', 6.443563460578616e-10], ['sal', 7.424532100230863e-10]]
todos	[['todos', 2.220446049250313e-16], ['am', 1.716937703122312e-11], ['do', 3.8579583971909415e-11], ['puede', 6.849432132582933e-11], ['8', 1.0687994933533673e-10]]	[['todos', 0], ['am', 1.7169488053525583e-11], ['do', 3.8579583971909415e-11], ['puede', 6.849465439273672e-11], ['8', 1.0688017137994166e-10]]
muy	[['muy', 2.220446049250313e-16], ['pos', 1.9187873512294118e-11], ['Mi', 1.204212285443873e-10], ['has', 1.7364576443412716e-10], ['Pero', 3.0955715768499203e-10]]	[['muy', 0], ['pos', 1.918798453459658e-11], ['Mi', 1.204212285443873e-10], ['has', 1.7364587545642962e-10], ['Pero', 3.0955715768499203e-10]]
El	[['El', 0], ['des', 1.1771583707798072e-11], ['so', 1.1812217870499353e-11], ['Q', 4.70057326396045e-11], ['to', 1.8737922324874035e-10]]	[['El', 0], ['des', 1.1771805752402997e-11], ['so', 1.1812439915104278e-11], ['Q', 4.700595468420943e-11], ['to', 1.8737922324874035e-10]]
@LaydaSansores	[['@LaydaSansores', 0], ['@lorenamendezd', 8.343298490087747e-06], ['fifis', 3.277580132265978e-05], ['fifis,', 3.277580132265978e-05], ['@JulietaRamirezP', 4.463132135146264e-05]]	[['@LaydaSansores', 0], ['@lorenamendezd', 8.343298490087747e-06], ['fifis', 3.277580132254876e-05], ['fifis,', 3.277580132254876e-05], ['@JulietaRamirezP', 4.4631321351240594e-05]]
@NarroJose	[['@NarroJose', 0], ['nepotismo', 3.9205663043384575e-05], ['nepotismo,', 3.9205663043384575e-05], ['@IndiraKempis', 6.801886236507126e-05], ['@ClaudiAnaya', 0.00010304181548359548]]	[['@NarroJose', 0], ['nepotismo', 3.9205663043384575e-05], ['nepotismo,', 3.9205663043384575e-05], ['@IndiraKempis', 6.801886236507126e-05], ['@ClaudiAnaya', 0.00010304181548359548]]
Si	[['Si', 1.1102230246251565e-16], ['4', 6.698086529866032e-12], ['fue', 2.6672219988199686e-11], ['pri', 2.6832092103745708e-11], ['Sí', 6.046263489878356e-11]]	[['Si', 0], ['4', 6.698086529866032e-12], ['fue', 2.6672108965897223e-11], ['pri', 2.6832092103745708e-11], ['Sí', 6.046241285417864e-11]]
hacer	[['hacer', 1.1102230246251565e-16], ['Los', 4.8884563064177655e-11], ['son', 1.3734202664039685e-10], ['Al', 1.98054683764326e-10], ['aquí', 3.531029912906547e-10]]	[['hacer', 0], ['Los', 4.8884563064177655e-11], ['son', 1.3734202664039685e-10], ['Al', 1.9805446171972108e-10], ['aquí', 3.531027692460498e-10]]
México	[['México', 0], ['música', 3.5504932327512506e-13], ['Ud', 7.985834216128751e-13], ['necesita', 8.008038676621254e-13], ['viene', 3.208655563469165e-12]]	[['México', 0], ['música', 3.5504932327512506e-13], ['Ud', 7.983613770079501e-13], ['necesita', 8.008038676621254e-13], ['viene', 3.208655563469165e-12]]
este	[['este', 1.1102230246251565e-16], ['r', 2.4844237778154366e-11], ['Me', 9.850686932821873e-11], ['esta', 2.2491419837677995e-10], ['pero', 6.284553988322727e-10]]	[['este', 0], ['r', 2.484401573354944e-11], ['Me', 9.850675830591626e-11], ['esta', 2.249140873544775e-10], ['pero', 6.284551767876678e-10]]
nos	[['nos', 0], ['también', 1.9670154394191286e-11], ['Pero', 4.4196868387302857e-11], ['has', 1.2243039915205145e-10], ['6', 1.2413670091859785e-10]]	[['nos', 0], ['también', 1.9670154394191286e-11], ['Pero', 4.4196757365000394e-11], ['has', 1.2243039915205145e-10], ['6', 1.241365898962954e-10]]
nada	[['nada', 0], ['ese', 2.7540192348851633e-12], ['favor', 1.1003642441664852e-11], ['desde', 2.4906965379045687e-11], ['lugar', 4.390976471313479e-11]]	[['nada', 0], ['ese', 2.754130257187626e-12], ['favor', 1.1003864486269777e-11], ['desde', 2.4907187423650612e-11], ['lugar', 4.3909986757739716e-11]]
@BeatrizGMuller	[['@BeatrizGMuller', 0], ['@BeatrizPRangel_', 0], ['desplome', 1.9273973068667516e-05], ['@MetrobusCDMX', 0.00025447110684495566], ['@DanteDelgado', 0.0002897861256098144]]	[['@BeatrizGMuller', 0], ['@BeatrizPRangel_', 0], ['desplome', 1.927397306833445e-05], ['@MetrobusCDMX', 0.0002544711068450667], ['@DanteDelgado', 0.0002897861256097034]]
tú	[['tú', 2.220446049250313e-16], ['estado', 7.19544424043761e-11], ['hecho', 7.291622861060887e-11], ['Dios', 9.935707812047667e-11], ['porque', 1.6136358915730398e-10]]	[['tú', 0], ['estado', 7.195466444898102e-11], ['hecho', 7.291600656600394e-11], ['Dios', 9.93573001650816e-11], ['porque', 1.6136358915730398e-10]]
Es	[['Es', 2.220446049250313e-16], ['Y', 4.4961590006664665e-11], ['ex', 1.0133616168417348e-10], [':', 1.7802392893173646e-10], ['I', 2.7769231358831803e-10]]	[['Es', 0], ['Y', 4.496181205126959e-11], ['ex', 1.0133616168417348e-10], [':', 1.780241509763414e-10], ['I', 2.776920915437131e-10]]
así	[['así', 2.220446049250313e-16], ['sol', 4.1849856913245276e-12], ['Su', 1.667366245072799e-11], ['0', 1.6762258248093076e-11], ['años', 3.776567947255671e-11]]	[['así', 0], ['sol', 4.1849856913245276e-12], ['Su', 1.667366245072799e-11], ['0', 1.676236927039554e-11], ['años', 3.776556845025425e-11]]
