palabra,primera N1,segunda N1,tercera N1,cuarta N1,quinta N1
cuando,"['cuando', 0]","['mar', 4.403144515663371e-12]","['Te', 1.7683743358531956e-11]","['vez', 1.6001577840540904e-10]","['todos', 3.5284719590578106e-10]"
bien,"['bien', 0]","['ve', 7.2668537853815e-12]","['i', 1.805674498811527e-10]","['qué', 1.675651284394064e-09]","['tu', 2.1589386944853572e-09]"
hay,"['hay', 0]","['tan', 3.3182656622443574e-10]","['20', 5.170326389247748e-10]","['Los', 6.443563460578616e-10]","['sal', 7.424532100230863e-10]"
todos,"['todos', 0]","['am', 1.7169488053525583e-11]","['do', 3.8579583971909415e-11]","['puede', 6.849465439273672e-11]","['8', 1.0688017137994166e-10]"
muy,"['muy', 0]","['pos', 1.918798453459658e-11]","['Mi', 1.204212285443873e-10]","['has', 1.7364587545642962e-10]","['Pero', 3.0955715768499203e-10]"
El,"['El', 0]","['des', 1.1771805752402997e-11]","['so', 1.1812439915104278e-11]","['Q', 4.700595468420943e-11]","['to', 1.8737922324874035e-10]"
@LaydaSansores,"['@LaydaSansores', 0]","['@lorenamendezd', 8.343298490087747e-06]","['fifis', 3.277580132254876e-05]","['fifis,', 3.277580132254876e-05]","['@JulietaRamirezP', 4.4631321351240594e-05]"
@NarroJose,"['@NarroJose', 0]","['nepotismo', 3.9205663043384575e-05]","['nepotismo,', 3.9205663043384575e-05]","['@IndiraKempis', 6.801886236507126e-05]","['@ClaudiAnaya', 0.00010304181548359548]"
Si,"['Si', 0]","['4', 6.698086529866032e-12]","['fue', 2.6672108965897223e-11]","['pri', 2.6832092103745708e-11]","['Sí', 6.046241285417864e-11]"
hacer,"['hacer', 0]","['Los', 4.8884563064177655e-11]","['son', 1.3734202664039685e-10]","['Al', 1.9805446171972108e-10]","['aquí', 3.531027692460498e-10]"
México,"['México', 0]","['música', 3.5504932327512506e-13]","['Ud', 7.983613770079501e-13]","['necesita', 8.008038676621254e-13]","['viene', 3.208655563469165e-12]"
este,"['este', 0]","['r', 2.484401573354944e-11]","['Me', 9.850675830591626e-11]","['esta', 2.249140873544775e-10]","['pero', 6.284551767876678e-10]"
nos,"['nos', 0]","['también', 1.9670154394191286e-11]","['Pero', 4.4196757365000394e-11]","['has', 1.2243039915205145e-10]","['6', 1.241365898962954e-10]"
nada,"['nada', 0]","['ese', 2.754130257187626e-12]","['favor', 1.1003864486269777e-11]","['desde', 2.4907187423650612e-11]","['lugar', 4.3909986757739716e-11]"
@BeatrizGMuller,"['@BeatrizGMuller', 0]","['@BeatrizPRangel_', 0]","['desplome', 1.927397306833445e-05]","['@MetrobusCDMX', 0.0002544711068450667]","['@DanteDelgado', 0.0002897861256097034]"
tú,"['tú', 0]","['estado', 7.195466444898102e-11]","['hecho', 7.291600656600394e-11]","['Dios', 9.93573001650816e-11]","['porque', 1.6136358915730398e-10]"
Es,"['Es', 0]","['Y', 4.496181205126959e-11]","['ex', 1.0133616168417348e-10]","[':', 1.780241509763414e-10]","['I', 2.776920915437131e-10]"
así,"['así', 0]","['sol', 4.1849856913245276e-12]","['Su', 1.667366245072799e-11]","['0', 1.676236927039554e-11]","['años', 3.776556845025425e-11]"
mejor,"['mejor', 0]","['ir', 3.064215547965432e-12]","['decir', 4.8849702061204425e-11]","['Estados', 2.457920533771585e-10]","['Las', 6.118379136665908e-10]"
mi,"['mi', 0]","['R', 1.2185807918285718e-11]","['-', 1.9598889178240597e-10]","['H', 3.067663900679918e-10]","['(', 4.425144695119343e-10]"
tan,"['tan', 0]","['20', 2.045064118050277e-11]","['sal', 8.157496900196293e-11]","['ah', 2.487822170493814e-10]","['hay', 3.3182656622443574e-10]"
tus,"['tus', 0]","['población', 4.11581879689038e-12]","['dónde', 1.1363465723945865e-11]","['Mira', 1.1450507209076477e-11]","['Nos', 1.6350920617469455e-11]"
q,"['q', 0]","['t', 7.581324457106575e-11]","['en', 1.6893741960899433e-10]","['la', 1.709112851244754e-10]","['que', 4.674640674551256e-10]"
?,"['?', 0]","['los', 1.674260730055721e-11]","['se', 6.734923729823095e-11]","['¿', 1.5011902831929547e-10]","['P', 2.663788079004803e-10]"
DE,"['DE', 0]","['of', 5.58408874695715e-12]","['señor', 1.2500889212674338e-11]","['haber', 3.465505660216195e-11]","['momento', 6.77874423260505e-11]"
ver,"['ver', 0]","['tu', 3.076672250301726e-11]","['qué', 1.2268774884915956e-10]","['sus', 1.9438994858234082e-10]","['Qué', 9.496815556175875e-10]"
hace,"['hace', 0]","['12', 2.064126647383091e-12]","['mayor', 2.0687895840865167e-12]","['sí', 8.283818075938143e-12]","['San', 1.8659407352572543e-11]"
ese,"['ese', 0]","['favor', 2.7475799413423374e-12]","['nada', 2.754130257187626e-12]","['lugar', 2.4669821740985753e-11]","['desde', 4.4226289297455423e-11]"
Por,"['Por', 0]","['Qué', 7.219347342157789e-11]","['200', 2.9287494651697443e-10]","['sus', 6.436978727819564e-10]","['sobre', 6.6208771798415e-10]"
.,"['.', 0]","['l', 2.070033033874097e-11]","['de', 2.0782375820260768e-11]","['e', 8.329525957861961e-11]","['p', 1.855670062056447e-10]"
gente,"['gente', 0]","['Estado', 1.0755840662568517e-12]","['voy', 1.0774714453987144e-12]","['sistema', 4.297895372928906e-12]","['estos', 9.716005777704595e-12]"
jajajaja,"['jajajaja', 0]","['jajaja', 0]","['jajajajaja', 0]","['jajajajajaja', 0]","['jajajajajajaja', 0]"
gobierno,"['gobierno', 0]","['cerca', 2.779998453661392e-13]","['policía', 4.456990332357691e-12]","['nacionales', 6.968758903269645e-12]","['hemos', 9.960920976936904e-12]"
@senadomexicano,"['@senadomexicano', 0]","['@PriviDeMandar', 5.19324916830044e-05]","['inolvidable', 0.00037971708400441617]","['CLAUDIA', 0.0011495257884963639]","['lamerle', 0.0013101592874463774]"
esa,"['esa', 0]","['San', 2.082445327289406e-12]","['Eso', 2.0872192862952943e-12]","['sí', 8.321010547263086e-12]","['sido', 8.358091996285566e-12]"
ha,"['ha', 0]","['me', 5.274203296323776e-11]","[')', 2.0874313388929977e-10]","['!', 2.1171719932766564e-10]","['B', 3.255873348706473e-10]"
pueblo,"['pueblo', 0]","['demás', 3.744116128245878e-12]","['mayoría', 5.846434447676074e-12]","['serie', 8.413381102911899e-12]","['tomar', 1.1548317857545953e-11]"
En,"['En', 0]","['U', 4.346445425795764e-11]","['como', 9.79601955108933e-11]","['I', 2.7303326266547856e-10]","[':', 3.9383396543968274e-10]"
van,"['van', 0]","['casi', 2.2448709557920665e-13]","['Quieres', 8.982814492242142e-13]","['puesto', 5.589417817475351e-12]","['algún', 1.4281575921870626e-11]"
dinero,"['dinero', 0]","['poder', 7.517320099736935e-13]","['Estás', 1.873035060384609e-11]","['punto', 1.889310929925614e-11]","['total', 2.69482214321215e-11]"
NO,"['NO', 0]","['crimen', 9.547918011776346e-15]","['cuándo', 3.752553823233029e-14]","['victoria', 8.43769498715119e-14]","['física', 2.334799020786704e-13]"
tienes,"['tienes', 0]","['hablar', 1.0533796057643485e-12]","['14', 1.6775136835178728e-11]","['tras', 2.6186386392623717e-11]","['derechos', 3.810096682599351e-11]"
ustedes,"['ustedes', 0]","['niño', 1.7463808177353712e-13]","['todavía', 6.994405055138486e-13]","['cabo', 1.5688561560978087e-12]","['Ese', 1.5744072712209345e-12]"
@yeidckol,"['@yeidckol', 0]","['@NachoMierV', 1.9863976223888358e-06]","['@NachoRgz', 1.9863976223888358e-06]","['@AntaresVazAla', 1.9500742991174214e-05]","['Xochimilco', 2.042158315862519e-05]"
sea,"['sea', 0]","['verdad', 1.894262524615442e-12]","['Gracias', 4.7147508119849135e-11]","['Para', 4.7664316937812146e-11]","['super', 1.2030532126061644e-10]"
están,"['están', 0]","['vida', 1.0567435815289627e-11]","['plan', 2.3804958004802756e-11]","['mismo', 1.6709245098667225e-10]","['10', 2.1577517550497305e-10]"
Se,"['Se', 0]","['está', 3.358235911576912e-11]","['De', 7.616107744468081e-11]","['as', 1.3561252121263578e-10]","['sobre', 2.0889978635807438e-10]"
país,"['país', 0]","['Par', 3.625544309215911e-12]","['parte', 9.017486757301185e-11]","['u', 1.7948464936523578e-10]","['Buen', 2.347310124051205e-10]"
@Viri_Rios,"['@Viri_Rios', 0]","['@AispuroDurango', 2.5413702090526513e-06]","['@PedroFerriz', 6.7520565705248e-06]","['@CuitlahuacGJ', 6.982660819443431e-06]","['@PartidoMorenaMx', 1.1889815968557649e-05]"
jajaja,"['jajajaja', 0]","['jajaja', 0]","['jajajajaja', 0]","['jajajajajaja', 0]","['jajajajajajaja', 0]"
señora,"['señora', 0]","['pele', 6.816769371198461e-14]","['Del', 2.728928194528635e-13]","['color', 1.092903545441004e-12]","['sola', 1.7005286068183523e-12]"
Lo,"['Lo', 0]","['fin', 5.9711124933414794e-12]","['ni', 9.484724117214682e-11]","['Me', 4.893260241445319e-10]","['entre', 9.889014052077982e-10]"
Pero,"['Pero', 0]","['también', 4.8971937616215655e-12]","['has', 1.9507839787991088e-11]","['Mi', 4.383193807910857e-11]","['nos', 4.4196757365000394e-11]"
vas,"['vas', 0]","['siguiente', 5.5174753654796405e-12]","['dice', 5.544897874187882e-12]","['posible', 9.80093783908842e-12]","['mas', 1.5301426792291295e-11]"
De,"['De', 0]","['as', 8.516076732689726e-12]","['Se', 7.616107744468081e-11]","['está', 2.108906382858322e-10]","['sobre', 5.373307354616941e-10]"
años,"['años', 0]","['0', 4.207301174119493e-12]","['sol', 1.6807111258287932e-11]","['así', 3.776556845025425e-11]","['8', 3.806843729137199e-11]"
puede,"['puede', 0]","['8', 4.2523762289192746e-12]","['do', 4.263811526072914e-12]","['am', 1.7077894653994008e-11]","['años', 6.776745831160724e-11]"
también,"['también', 0]","['Pero', 4.8971937616215655e-12]","['nos', 1.9670154394191286e-11]","['has', 4.39532854557001e-11]","['Mi', 7.803135915196435e-11]"
ahora,"['ahora', 0]","['algun', 2.6074142844834114e-11]","['cual', 4.629741034989365e-11]","['ven', 4.6748938054008704e-11]","['trabajo', 1.4369228029664782e-10]"
LA,"['LA', 0]","['ta', 4.823919041996305e-13]","['crees', 3.0035973708208985e-12]","['paso', 4.322653346378047e-12]","['propia', 5.925815393936773e-12]"
QUE,"['QUE', 0]","['reformas', 3.4416913763379853e-15]","['perros', 1.354472090042691e-14]","['agradecer', 1.3655743202889425e-14]","['vea', 8.504308368628699e-14]"
quien,"['quien', 0]","['Como', 9.183209748186982e-12]","['especial', 4.9810933155924886e-11]","['eres', 6.499867311049456e-11]","['Hay', 6.59774457290041e-11]"
hasta,"['hasta', 0]","['Ten', 1.3188006242614847e-11]","['han', 2.963584933013408e-11]","['buen', 2.985933722499112e-11]","['Yo', 5.67793256855964e-10]"
estar,"['estar', 0]","['Vamos', 3.985689556174066e-11]","['acuerdo', 4.0231040721039335e-11]","['Ah', 9.073253259828107e-11]","['da', 2.0060497707419245e-10]"
tienen,"['tienen', 0]","['dijo', 9.527933997333093e-13]","['medio', 3.807731907556899e-12]","['nunca', 3.414413196622945e-11]","['fuera', 6.148603848288303e-11]"
@CitlaHM,"['@CitlaHM', 0]","['@VeroDelgadilloG', 3.1243083475906985e-07]","['@TereJimenezE', 5.534162552778277e-06]","['lambiscona', 1.9792711229205118e-05]","['lambisconería', 1.9792711229205118e-05]"
Te,"['Te', 0]","['cuando', 1.7683743358531956e-11]","['mar', 3.973510409593928e-11]","['vez', 7.130995793858119e-11]","['sin', 2.1927482052319647e-10]"
menos,"['menos', 0]","['mes', 1.506905711323725e-12]","['solo', 1.5099033134902129e-12]","['usted', 6.0215166186594615e-12]","['tres', 6.046385614411065e-12]"
verdad,"['verdad', 0]","['sea', 1.894262524615442e-12]","['Gracias', 3.014177796245576e-11]","['Para', 6.8561933908029e-11]","['super', 9.200851192048276e-11]"
presidente,"['presidente', 0]","['película', 1.2823075934420558e-13]","['puntos', 1.1551870571224754e-12]","['tercer', 3.212541344055353e-12]","['sistemas', 6.303624289216714e-12]"
donde,"['donde', 0]","['ella', 2.300271084720862e-12]","['Bueno', 2.3053781106341376e-12]","['uno', 2.0796808719580895e-11]","['casa', 5.724254403816076e-11]"
cómo,"['cómo', 0]","['primera', 4.6211923176997516e-12]","['otras', 1.8519963340679624e-11]","['13', 2.8688051934011582e-11]","['comer', 2.896549666786541e-11]"
Eres,"['Eres', 0]","['ello', 3.7070346792233977e-13]","['idea', 1.4863665853681596e-12]","['ejemplo', 3.3467673077325344e-12]","['2000', 9.242495657701966e-12]"
algo,"['algo', 0]","['tiene', 4.108158258020467e-12]","['Le', 3.6778136092152636e-11]","['Su', 1.03247965732578e-10]","['así', 2.0290391589128376e-10]"
Pues,"['Pues', 0]","['suerte', 1.1313172620930345e-13]","['creer', 1.1324274851176597e-13]","['Sus', 4.5230486023228877e-13]","['rápido', 4.5341508325691393e-13]"
desde,"['desde', 0]","['don', 1.1136647160014945e-11]","['nada', 2.4907187423650612e-11]","['ese', 4.4226289297455423e-11]","['favor', 6.902090010640904e-11]"
mucho,"['mucho', 0]","['sido', 2.096656182004608e-12]","['estaba', 2.1012080964055713e-12]","['Eso', 8.376743743099269e-12]","['durante', 8.414380303634061e-12]"
siempre,"['siempre', 0]","['les', 3.1682101386820705e-11]","['Estoy', 8.007583485181158e-11]","['soy', 1.837561214301786e-10]","['días', 2.1041757225503943e-10]"
trabajar,"['trabajar', 0]","['claro', 1.4999113062685865e-13]","['hija', 5.992983886926595e-13]","['acción', 1.34781075189494e-12]","['participación', 2.405631249757789e-12]"
mas,"['mas', 0]","['unos', 6.089573290068984e-13]","['posible', 6.100675520315235e-13]","['millones', 2.4342750037931182e-12]","['siguiente', 2.4420465649654943e-12]"
dice,"['dice', 0]","['vas', 5.544897874187882e-12]","['dicho', 5.572431405198586e-12]","['siguiente', 2.212496852393997e-11]","['posible', 3.008993054720577e-11]"
Los,"['Los', 0]","['hacer', 4.8884563064177655e-11]","['son', 3.5010316867811753e-10]","['Al', 4.4373127394692347e-10]","['hay', 6.443563460578616e-10]"
mal,"['mal', 0]","['10', 2.431932433211159e-11]","['lugar', 2.4493740369280204e-11]","['favor', 6.820077835811844e-11]","['ese', 9.832668013132206e-11]"
ja,"['ja', 0]","['seguimiento', 6.850076061937216e-14]","['verdadero', 1.5420997812043424e-13]","['fundamental', 2.8825830611367564e-12]","['asesinato', 3.373634704928463e-12]"
@PartidoMorenaMx,"['@PartidoMorenaMx', 0]","['@PartidoMorenaMx,', 0]","['@Viri_Rios', 1.1889815968557649e-05]","['@AispuroDurango', 2.5424825471409562e-05]","['poquianchis', 2.9562901928237295e-05]"
da,"['da', 0]","['día', 6.091471771441093e-11]","['Vamos', 6.162692578470796e-11]","['den', 1.1911693853505767e-10]","['mujer', 1.5540113640355457e-10]"
Jajaja,"['Jajaja', 0]","['Jajajaja', 0]","['Jajajajaja', 0]","['Jajajajajaja', 0]","['Jajajajajajaja', 0]"
fue,"['fue', 0]","['Si', 2.6672108965897223e-11]","['4', 6.010214548268777e-11]","['co', 1.0573908415523192e-10]","['pri', 1.0700818009468094e-10]"
Jajajaja,"['Jajaja', 0]","['Jajajaja', 0]","['Jajajajaja', 0]","['Jajajajajaja', 0]","['Jajajajajajaja', 0]"
Con,"['Con', 0]","['pa', 8.820055796832094e-12]","['ti', 8.848255461657573e-12]","['Un', 7.989042760669918e-11]","['pre', 1.4225609579199272e-10]"
@JulietaRamirezP,"['@JulietaRamirezP', 0]","['@Julieta_Kristal', 0]","['Coyoacán', 6.812409508505368e-06]","['twitter', 1.0676228447081826e-05]","['@_VicenteSerrano', 1.2865536267336886e-05]"
otra,"['otra', 0]","['15', 1.7944534747016405e-12]","['mundo', 7.154499215289434e-12]","['personas', 1.6184165119170757e-11]","['mí', 2.8802515927850436e-11]"
día,"['día', 0]","['den', 9.667600053830938e-12]","['mujer', 2.172684254730939e-11]","['año', 3.8580916239538965e-11]","['18', 6.021294574054536e-11]"
falta,"['falta', 0]","['mierda', 5.888289855704443e-12]","['acerca', 1.0480394330159015e-11]","['unas', 1.3131939979871277e-11]","['haces', 1.3272272170183896e-11]"
e,"['e', 0]","['de', 2.0865087435595342e-11]","['.', 8.329525957861961e-11]","['l', 1.870434918060937e-10]","['p', 5.175136985613449e-10]"
decir,"['decir', 0]","['ir', 2.744426907952402e-11]","['mejor', 4.8849702061204425e-11]","['Estados', 7.549005864859737e-11]","['trabajo', 3.6270686454287215e-10]"
tener,"['tener', 0]","['cuenta', 1.4260814751310136e-12]","['Así', 1.2808087923588118e-11]","['cosas', 2.2746915462334982e-11]","['fe', 3.550604255053713e-11]"
@Pemex,"['@Pemex', 0]","['@Adela_Micha', 0.00048642366218754063]","['@AccionNacional', 0.0004891958895866244]","['@ruizmassieu', 0.0006468578436251704]","['@olgajulianaeg', 0.0007065708513104285]"
!,"['!', 0]","['me', 5.311695527865368e-11]","['No', 5.349531928544593e-11]","['ha', 2.1171719932766564e-10]","[')', 8.409103413598018e-10]"
vez,"['vez', 0]","['sin', 4.049305335485087e-11]","['Te', 7.130995793858119e-11]","['cuando', 1.6001577840540904e-10]","['mar', 2.1750656831187598e-10]"
