,primera,segunda,tercera,cuarta,quinta,sexta,séptima,octava,novena,décima,Original
11,"['estos', array([   4., 2111.,    5.]), 9.264145006682156e-12]","['tienes', array([   4., 2126.,    5.]), 1.461408771774586e-10]","['quien', array([   4., 2141.,    5.]), 7.295083426228643e-10]","['eres', array([   4., 2149.,    5.]), 1.2167443719235393e-09]","['otras', array([   4., 2074.,    5.]), 1.7062327106742714e-09]","['nosotros', array([   4., 2164.,    5.]), 2.448846792013626e-09]","['estas', array([   4., 2170.,    5.]), 3.0548699125887424e-09]","['fuera', array([   4., 2171.,    5.]), 3.1620315255054265e-09]","['fuera', array([   4., 2171.,    5.]), 3.1620315255054265e-09]","['tienen', array([   4., 2179.,    5.]), 4.081769033881244e-09]","gente,"
12,"['tuviéramos', array([4.000e+00, 2.868e+04, 5.000e+00]), 1.2120637826740221e-10]","['habrás', array([4.0000e+00, 2.7977e+04, 5.0000e+00]), 2.2428914281391599e-10]","['tuyas', array([4.000e+00, 2.711e+04, 5.000e+00]), 4.0610059759416117e-10]","['habríamos', array([4.0000e+00, 2.6968e+04, 5.0000e+00]), 4.4231729390276087e-10]","['fuéramos', array([4.0000e+00, 2.6164e+04, 5.0000e+00]), 6.859430801142707e-10]","['fuesen', array([4.0000e+00, 2.4093e+04, 5.0000e+00]), 1.6863902496666583e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.7605670254994266e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.7605670254994266e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.7605670254994266e-09]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 1.7605670254994266e-09]",detestable
13,"['esté', array([   4., 3446.,    5.]), 8.491474190464032e-11]","['esté', array([   4., 3446.,    5.]), 8.491474190464032e-11]","['tenido', array([   4., 3525.,    5.]), 1.4946762716405715e-09]","['tenido', array([   4., 3525.,    5.]), 1.4946762716405715e-09]","['tuvo', array([   4., 3322.,    5.]), 1.5863224067658166e-09]","['habían', array([   4., 3542.,    5.]), 2.0093532393516966e-09]","['tuvi', array([   4., 3573.,    5.]), 3.1266467193091785e-09]","['hubi', array([   4., 3202.,    5.]), 8.264056883255932e-09]","['hubi', array([   4., 3202.,    5.]), 8.264056883255932e-09]","['hubi', array([   4., 3202.,    5.]), 8.264056883255932e-09]",clase
14,"['vosotros', array([4.000e+00, 6.901e+03, 5.000e+00]), 4.749867166253807e-12]","['tuyo', array([4.000e+00, 6.708e+03, 5.000e+00]), 4.43363901148075e-10]","['hubier', array([4.000e+00, 6.619e+03, 5.000e+00]), 9.07933173088793e-10]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 1.0890337520663707e-09]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 1.0890337520663707e-09]","['tengas', array([4.000e+00, 7.368e+03, 5.000e+00]), 1.552764916645799e-09]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 1.6417480708241783e-09]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 1.6417480708241783e-09]","['estés', array([4.000e+00, 7.472e+03, 5.000e+00]), 2.299992640786286e-09]","['seas', array([4.000e+00, 6.403e+03, 5.000e+00]), 2.831048950824311e-09]",NO
15,"['sintiendo', array([4.0000e+00, 2.2998e+04, 5.0000e+00]), 7.216449660063518e-15]","['hubiesen', array([4.0000e+00, 2.2962e+04, 5.0000e+00]), 1.553202011450594e-13]","['tendrías', array([4.000e+00, 2.279e+04, 5.000e+00]), 3.5433878053936496e-12]","['serías', array([4.0000e+00, 2.3388e+04, 5.0000e+00]), 1.0223044633050904e-11]","['mías', array([4.0000e+00, 2.2199e+04, 5.0000e+00]), 5.1431081615760377e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 6.349976100494814e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 6.349976100494814e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 6.349976100494814e-11]","['tuviese', array([4.0000e+00, 2.3979e+04, 5.0000e+00]), 6.349976100494814e-11]","['estaríamos', array([4.0000e+00, 2.2111e+04, 5.0000e+00]), 6.373290784011942e-11]",REPRESENTAS
16,"['del', array([   4., 1072.,    5.]), 6.231981597437652e-11]","['o', array([   4., 1074.,    5.]), 2.483515615381293e-10]","['los', array([   4., 1065.,    5.]), 3.946353244188572e-10]","['se', array([   4., 1062.,    5.]), 1.0159817431798501e-09]","['se', array([   4., 1062.,    5.]), 1.0159817431798501e-09]","['su', array([   4., 1079.,    5.]), 1.2456543574401735e-09]","['es', array([   4., 1058.,    5.]), 2.3032762364039172e-09]","['no', array([   4., 1084.,    5.]), 2.986435321261638e-09]","['las', array([   4., 1089.,    5.]), 5.450134010764884e-09]","['con', array([   4., 1051.,    5.]), 5.851354512032003e-09]",A
17,"['habida', array([4.0000e+00, 1.5619e+04, 5.0000e+00]), 2.4649171592727726e-11]","['habida', array([4.0000e+00, 1.5619e+04, 5.0000e+00]), 2.4649171592727726e-11]","['habrán', array([4.0000e+00, 1.5049e+04, 5.0000e+00]), 3.6179281792669826e-11]","['tenéis', array([4.0000e+00, 1.4844e+04, 5.0000e+00]), 1.0342726675105496e-10]","['suyos', array([4.0000e+00, 1.5998e+04, 5.0000e+00]), 1.4000256509660858e-10]","['vuestras', array([4.0000e+00, 1.6286e+04, 5.0000e+00]), 2.834877887991638e-10]","['habíamos', array([4.000e+00, 1.429e+04, 5.000e+00]), 4.837795719581095e-10]","['míos', array([4.0000e+00, 1.4239e+04, 5.0000e+00]), 5.349890530581547e-10]","['sois', array([4.0000e+00, 1.4185e+04, 5.0000e+00]), 5.924513102328888e-10]","['hayamos', array([4.0000e+00, 1.6896e+04, 5.0000e+00]), 7.222227260683667e-10]",NADIE
18,"['e', array([   4., 1007.,    5.]), 3.281231442109345e-08]","['de', array([   4., 1008.,    5.]), 3.4448121577490554e-08]","['a', array([   4., 1013.,    5.]), 4.316909452128925e-08]","['la', array([   4., 1030.,    5.]), 7.926405876101938e-08]","['en', array([   4., 1036.,    5.]), 9.424664304535924e-08]","['que', array([   4., 1038.,    5.]), 9.948761336975309e-08]","['el', array([   4., 1040.,    5.]), 1.0484941670441117e-07]","['y', array([   4., 1042.,    5.]), 1.1033054680975596e-07]","['un', array([   4., 1049.,    5.]), 1.3043287072633802e-07]","['con', array([   4., 1051.,    5.]), 1.3643280460939877e-07]",@CarolAntonioA
19,"['tuvieras', array([4.0000e+00, 1.9668e+04, 5.0000e+00]), 1.1102230246251565e-14]","['estuvimos', array([4.000e+00, 1.941e+04, 5.000e+00]), 1.0018652574217413e-11]","['suyas', array([4.0000e+00, 1.9403e+04, 5.0000e+00]), 1.0558443008790164e-11]","['tuyos', array([4.000e+00, 2.038e+04, 5.000e+00]), 6.299960553235451e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 6.793132723004192e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 6.793132723004192e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 6.793132723004192e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 6.793132723004192e-11]","['estuvieras', array([4.0000e+00, 1.8771e+04, 5.0000e+00]), 1.2334389065671303e-10]","['habrías', array([4.000e+00, 2.128e+04, 5.000e+00]), 3.0044144949670226e-10]",Estimado
20,"['estamos', array([   4., 2527.,    5.]), 4.41894854041891e-10]","['tus', array([   4., 2620.,    5.]), 1.812865635386629e-09]","['eran', array([   4., 2632.,    5.]), 2.5458797292543522e-09]","['algunos', array([   4., 2478.,    5.]), 3.186679475852827e-09]","['esos', array([   4., 2651.,    5.]), 3.942061455042278e-09]","['unos', array([   4., 2438.,    5.]), 7.46987294242274e-09]","['haya', array([   4., 2697.,    5.]), 8.44853520476363e-09]","['muchos', array([   4., 2720.,    5.]), 1.125964443904337e-08]","['ante', array([   4., 2379.,    5.]), 1.7552446496260643e-08]","['nuestra', array([   4., 2367.,    5.]), 2.0202131523205935e-08]","amigo,"
21,"['sentido', array([   4., 3141.,    5.]), 1.0337830591566899e-10]","['nuestros', array([   4., 3070.,    5.]), 5.368274713646315e-10]","['hubi', array([   4., 3202.,    5.]), 1.4159015071513181e-09]","['hubi', array([   4., 3202.,    5.]), 1.4159015071513181e-09]","['hubi', array([   4., 3202.,    5.]), 1.4159015071513181e-09]","['hubi', array([   4., 3202.,    5.]), 1.4159015071513181e-09]","['sería', array([   4., 3026.,    5.]), 1.9904322634545224e-09]","['sería', array([   4., 3026.,    5.]), 1.9904322634545224e-09]","['sería', array([   4., 3026.,    5.]), 1.9904322634545224e-09]","['hemos', array([   4., 2972.,    5.]), 5.155328275385784e-09]",muchas
22,"['tus', array([   4., 2620.,    5.]), 8.314843258361293e-10]","['estamos', array([   4., 2527.,    5.]), 1.2085069611700305e-09]","['eran', array([   4., 2632.,    5.]), 1.3479486415945985e-09]","['esos', array([   4., 2651.,    5.]), 2.4052697611409712e-09]","['algunos', array([   4., 2478.,    5.]), 4.927052987824254e-09]","['haya', array([   4., 2697.,    5.]), 6.1111156135496e-09]","['muchos', array([   4., 2720.,    5.]), 8.532066053668075e-09]","['unos', array([   4., 2438.,    5.]), 1.003417204881174e-08]","['ante', array([   4., 2379.,    5.]), 2.1382609127762464e-08]","['os', array([   4., 2821.,    5.]), 2.3093703727106174e-08]",gracias!
23,"['cuando', array([   4., 1486.,    5.]), 1.686129014188964e-11]","['sin', array([   4., 1477.,    5.]), 2.0907631181898978e-10]","['todos', array([   4., 1495.,    5.]), 5.039331174572226e-10]","['esto', array([   4., 1468.,    5.]), 1.1057516013934787e-09]","['yo', array([   4., 1467.,    5.]), 1.249992220841989e-09]","['tiene', array([   4., 1512.,    5.]), 3.1921453258476618e-09]","['algo', array([   4., 1513.,    5.]), 3.4197025211568643e-09]","['muy', array([   4., 1456.,    5.]), 3.442412355170177e-09]","['has', array([   4., 1450.,    5.]), 5.117894441575288e-09]","['también', array([   4., 1447.,    5.]), 6.086054660237039e-09]",Te
24,"['tuve', array([4.000e+00, 6.318e+03, 5.000e+00]), 1.8602619444862967e-10]","['hubo', array([4.000e+00, 6.084e+03, 5.000e+00]), 1.9386847682767439e-10]","['tendrán', array([4.000e+00, 6.387e+03, 5.000e+00]), 4.5715020657866035e-10]","['seas', array([4.000e+00, 6.403e+03, 5.000e+00]), 5.360367705264935e-10]","['siente', array([4.000e+00, 5.919e+03, 5.000e+00]), 1.2019474304736377e-09]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 1.2846190777793254e-09]","['estaría', array([4.00e+00, 6.52e+03, 5.00e+00]), 1.2846190777793254e-09]","['hubier', array([4.000e+00, 6.619e+03, 5.000e+00]), 2.137041210659163e-09]","['mía', array([4.0e+00, 5.8e+03, 5.0e+00]), 2.5364917943804244e-09]","['tuyo', array([4.000e+00, 6.708e+03, 5.000e+00]), 3.058517217269241e-09]",mando
25,"['tuvieras', array([4.0000e+00, 1.9668e+04, 5.0000e+00]), 5.803579838925543e-12]","['estuvimos', array([4.000e+00, 1.941e+04, 5.000e+00]), 2.991007441721649e-11]","['suyas', array([4.0000e+00, 1.9403e+04, 5.0000e+00]), 3.083755473198835e-11]","['tuyos', array([4.000e+00, 2.038e+04, 5.000e+00]), 3.17357251589101e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 3.52626816635393e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 3.52626816635393e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 3.52626816635393e-11]","['estuviese', array([4.0000e+00, 2.0408e+04, 5.0000e+00]), 3.52626816635393e-11]","['estuvieras', array([4.0000e+00, 1.8771e+04, 5.0000e+00]), 1.7982304534314153e-10]","['habrías', array([4.000e+00, 2.128e+04, 5.000e+00]), 2.258846443226048e-10]",abrazo
26,"['e', array([   4., 1007.,    5.]), 0.5699866545268001]","['de', array([   4., 1008.,    5.]), 0.5699923494441481]","['a', array([   4., 1013.,    5.]), 0.5700206556365088]","['la', array([   4., 1030.,    5.]), 0.5701148441796258]","['en', array([   4., 1036.,    5.]), 0.5701473502886363]","['que', array([   4., 1038.,    5.]), 0.5701581022745256]","['el', array([   4., 1040.,    5.]), 0.5701688129687967]","['y', array([   4., 1042.,    5.]), 0.5701794826088518]","['un', array([   4., 1049.,    5.]), 0.5702165064321696]","['con', array([   4., 1051.,    5.]), 0.5702269942178023]",🤗
27,"['les', array([   4., 2027.,    5.]), 5.751739085013696e-10]","['otras', array([   4., 2074.,    5.]), 7.094537179952454e-10]","['soy', array([   4., 2020.,    5.]), 1.0063627708944978e-09]","['ellos', array([   4., 2018.,    5.]), 1.1522385268136759e-09]","['estos', array([   4., 2111.,    5.]), 4.211808568577169e-09]","['tienes', array([   4., 2126.,    5.]), 6.404964003614566e-09]","['quien', array([   4., 2141.,    5.]), 9.015797441946916e-09]","['poco', array([   4., 1958.,    5.]), 1.054674558798041e-08]","['eres', array([   4., 2149.,    5.]), 1.0572775654971167e-08]","['nosotros', array([   4., 2164.,    5.]), 1.3789326902546861e-08]",Ahora
28,"['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 2.8350877201432922e-11]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 2.8350877201432922e-11]","['tengas', array([4.000e+00, 7.368e+03, 5.000e+00]), 1.3757373018563612e-10]","['estés', array([4.000e+00, 7.472e+03, 5.000e+00]), 4.113708262920568e-10]","['tuvieron', array([4.000e+00, 7.565e+03, 5.000e+00]), 7.690389436376677e-10]","['vosotros', array([4.000e+00, 6.901e+03, 5.000e+00]), 8.913420002087946e-10]","['estados', array([4.000e+00, 7.676e+03, 5.000e+00]), 1.3239647156382262e-09]","['eras', array([4.000e+00, 7.714e+03, 5.000e+00]), 1.543860594921398e-09]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 1.855188780375272e-09]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 1.855188780375272e-09]",corresponde
29,"['estabas', array([4.000e+00, 5.295e+03, 5.000e+00]), 3.712308238590367e-11]","['tengan', array([4.000e+00, 5.426e+03, 5.000e+00]), 2.1174639819321328e-10]","['tenían', array([4.000e+00, 5.434e+03, 5.000e+00]), 2.4900781436798525e-10]","['habrá', array([4.00e+00, 5.23e+03, 5.00e+00]), 2.795633724517188e-10]","['estén', array([4.000e+00, 5.496e+03, 5.000e+00]), 6.340028502194173e-10]","['mía', array([4.0e+00, 5.8e+03, 5.0e+00]), 4.6729089486774456e-09]","['siente', array([4.000e+00, 5.919e+03, 5.000e+00]), 7.064934082201546e-09]","['hubo', array([4.000e+00, 6.084e+03, 5.000e+00]), 1.0982748821497523e-08]","['quienes', array([4.000e+00, 4.709e+03, 5.000e+00]), 1.2656716896763953e-08]","['teniendo', array([4.0e+00, 4.7e+03, 5.0e+00]), 1.3074376026267487e-08]",legisladores
30,"['tendré', array([4.000e+00, 9.903e+03, 5.000e+00]), 1.1608813910157778e-10]","['tendré', array([4.000e+00, 9.903e+03, 5.000e+00]), 1.1608813910157778e-10]","['vuestra', array([4.000e+00, 9.373e+03, 5.000e+00]), 2.2735691107556022e-10]","['vuestro', array([4.000e+00, 9.345e+03, 5.000e+00]), 2.730994319577462e-10]","['habr', array([4.000e+00, 9.311e+03, 5.000e+00]), 3.3470459737117153e-10]","['habr', array([4.000e+00, 9.311e+03, 5.000e+00]), 3.3470459737117153e-10]","['habr', array([4.000e+00, 9.311e+03, 5.000e+00]), 3.3470459737117153e-10]","['fueran', array([4.000e+00, 9.285e+03, 5.000e+00]), 3.8638203747609623e-10]","['hayas', array([4.000e+00, 9.162e+03, 5.000e+00]), 6.866029966801079e-10]","['serían', array([4.0000e+00, 1.0253e+04, 5.0000e+00]), 6.959937071115974e-10]",analizarlo
31,"['tengas', array([4.000e+00, 7.368e+03, 5.000e+00]), 8.927303341010884e-12]","['estés', array([4.000e+00, 7.472e+03, 5.000e+00]), 3.0971558651060604e-11]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 8.821920971513464e-11]","['tendría', array([4.000e+00, 7.292e+03, 5.000e+00]), 8.821920971513464e-11]","['tuvieron', array([4.000e+00, 7.565e+03, 5.000e+00]), 1.6937684588214097e-10]","['estados', array([4.000e+00, 7.676e+03, 5.000e+00]), 4.695570599011489e-10]","['eras', array([4.000e+00, 7.714e+03, 5.000e+00]), 6.039271305269267e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 8.039967580586449e-10]","['estuviera', array([4.000e+00, 7.764e+03, 5.000e+00]), 8.039967580586449e-10]","['vosotros', array([4.000e+00, 6.901e+03, 5.000e+00]), 1.986699804668035e-09]","apertura,"
32,"['estaremos', array([4.0000e+00, 1.1794e+04, 5.0000e+00]), 8.58202398035246e-14]","['estarás', array([4.0000e+00, 1.1826e+04, 5.0000e+00]), 1.7741363933510002e-12]","['fuimos', array([4.0000e+00, 1.1834e+04, 5.0000e+00]), 2.5305313400281193e-12]","['vos', array([4.0000e+00, 1.1547e+04, 5.0000e+00]), 6.270606256464362e-11]","['tuvimos', array([4.000e+00, 1.148e+04, 5.000e+00]), 1.0418621521068872e-10]","['estuvieron', array([4.0000e+00, 1.1438e+04, 5.0000e+00]), 1.3584788849385632e-10]","['hubieras', array([4.0000e+00, 1.2246e+04, 5.0000e+00]), 2.091740114451568e-10]","['tengamos', array([4.0000e+00, 1.2287e+04, 5.0000e+00]), 2.463825810039566e-10]","['habéis', array([4.0000e+00, 1.1163e+04, 5.0000e+00]), 4.5826153982631013e-10]","['serás', array([4.0000e+00, 1.1154e+04, 5.0000e+00]), 4.723803570527707e-10]",escuchando
33,"['poco', array([   4., 1958.,    5.]), 3.5047187374459554e-11]","['otro', array([   4., 1925.,    5.]), 1.1370890895534558e-09]","['ellos', array([   4., 2018.,    5.]), 5.576025086106995e-09]","['soy', array([   4., 2020.,    5.]), 5.91271853700448e-09]","['les', array([   4., 2027.,    5.]), 7.163022397449481e-09]","['tanto', array([   4., 1877.,    5.]), 8.811265606034624e-09]","['otra', array([   4., 1861.,    5.]), 1.3134770049383349e-08]","['mí', array([   4., 1857.,    5.]), 1.4363431444230912e-08]","['tengo', array([   4., 1847.,    5.]), 1.770180002580446e-08]","['otras', array([   4., 2074.,    5.]), 1.8293373704736382e-08]",todas
